Category: All categories

Week,Python: (United States),Java: (United States),R: (United States)
2014-05-25,29,72,16
2014-06-01,32,77,18
2014-06-08,31,78,17
2014-06-15,32,78,17
2014-06-22,32,76,17
2014-06-29,29,74,16
2014-07-06,32,78,17
2014-07-13,33,82,17
2014-07-20,33,84,17
2014-07-27,33,78,17
2014-08-03,31,81,17
2014-08-10,31,81,17
2014-08-17,30,79,17
2014-08-24,32,79,17
2014-08-31,30,79,18
2014-09-07,35,86,20
2014-09-14,36,90,19
2014-09-21,37,88,19
2014-09-28,36,88,20
2014-10-05,37,90,20
2014-10-12,35,94,20
2014-10-19,37,99,21
2014-10-26,36,97,20
2014-11-02,36,97,19
2014-11-09,36,95,20
2014-11-16,37,94,20
2014-11-23,29,72,17
2014-11-30,34,85,20
2014-12-07,33,83,20
2014-12-14,31,78,17
2014-12-21,22,62,13
2014-12-28,22,61,12
2015-01-04,30,78,16
2015-01-11,33,83,18
2015-01-18,34,92,19
2015-01-25,37,97,20
2015-02-01,37,94,20
2015-02-08,37,97,21
2015-02-15,36,93,20
2015-02-22,38,93,21
2015-03-01,37,92,21
2015-03-08,37,92,21
2015-03-15,35,90,20
2015-03-22,37,89,20
2015-03-29,37,88,21
2015-04-05,39,90,23
2015-04-12,39,97,22
2015-04-19,39,100,22
2015-04-26,38,90,22
2015-05-03,36,86,21
2015-05-10,36,86,20
2015-05-17,36,81,19
2015-05-24,34,75,17
2015-05-31,38,80,19
2015-06-07,39,80,19
2015-06-14,39,82,18
2015-06-21,42,78,19
2015-06-28,38,65,18
2015-07-05,40,70,19
2015-07-12,40,73,20
2015-07-19,43,74,20
2015-07-26,41,71,19
2015-08-02,39,70,19
2015-08-09,38,70,18
2015-08-16,37,69,18
2015-08-23,39,73,19
2015-08-30,39,76,19
2015-09-06,39,74,20
2015-09-13,44,80,22
2015-09-20,44,82,22
2015-09-27,43,80,21
2015-10-04,45,81,22
2015-10-11,43,79,22
2015-10-18,44,84,21
2015-10-25,44,84,21
2015-11-01,44,84,22
2015-11-08,43,82,22
2015-11-15,43,83,21
2015-11-22,34,66,17
2015-11-29,41,76,21
2015-12-06,42,77,20
2015-12-13,38,69,19
2015-12-20,29,54,14
2015-12-27,26,44,13
2016-01-03,37,51,16
2016-01-10,39,55,17
2016-01-17,42,60,18
2016-01-24,45,65,21
2016-01-31,47,68,22
2016-02-07,46,67,22
2016-02-14,45,65,22
2016-02-21,49,68,22
2016-02-28,48,66,21
2016-03-06,47,65,21
2016-03-13,45,60,20
2016-03-20,45,60,20
2016-03-27,46,64,21
2016-04-03,47,65,22
2016-04-10,48,65,22
2016-04-17,45,64,22
2016-04-24,46,63,23
2016-05-01,43,59,21
2016-05-08,43,57,19
2016-05-15,44,56,18
2016-05-22,44,55,18
2016-05-29,42,49,17
2016-06-05,45,54,18
2016-06-12,46,53,18
2016-06-19,47,53,18
2016-06-26,46,51,18
2016-07-03,41,45,17
2016-07-10,45,50,18
2016-07-17,45,51,18
2016-07-24,44,50,18
2016-07-31,42,49,17
2016-08-07,40,47,17
2016-08-14,36,46,16
2016-08-21,41,52,17
2016-08-28,43,53,19
2016-09-04,42,52,18
2016-09-11,48,61,20
2016-09-18,50,63,21
2016-09-25,50,62,21
2016-10-02,48,59,21
2016-10-09,48,59,21
2016-10-16,50,62,22
2016-10-23,54,65,22
2016-10-30,54,63,23
2016-11-06,48,57,21
2016-11-13,54,62,22
2016-11-20,40,45,18
2016-11-27,51,59,23
2016-12-04,55,60,24
2016-12-11,47,54,20
2016-12-18,41,43,16
2016-12-25,30,31,12
2017-01-01,40,42,15
2017-01-08,47,52,18
2017-01-15,49,55,19
2017-01-22,56,61,22
2017-01-29,59,65,24
