Category: All categories

Month,diet: (Worldwide),gym: (Worldwide),finance: (Worldwide)
2004-01,100,30,47
2004-02,76,26,48
2004-03,69,24,45
2004-04,70,22,47
2004-05,72,22,43
2004-06,65,23,45
2004-07,62,24,45
2004-08,58,26,44
2004-09,55,27,44
2004-10,52,24,43
2004-11,49,23,42
2004-12,43,24,41
2005-01,64,32,44
2005-02,55,27,47
2005-03,57,27,45
2005-04,55,24,44
2005-05,59,24,41
2005-06,54,24,44
2005-07,51,25,43
2005-08,52,28,45
2005-09,46,27,44
2005-10,46,26,43
2005-11,43,25,42
2005-12,39,24,39
2006-01,63,34,44
2006-02,52,27,44
2006-03,49,28,47
2006-04,50,26,45
2006-05,49,26,45
2006-06,52,26,44
2006-07,50,27,43
2006-08,50,30,44
2006-09,44,30,45
2006-10,43,26,45
2006-11,43,27,44
2006-12,37,26,40
2007-01,57,35,47
2007-02,48,32,49
2007-03,50,31,47
2007-04,52,31,47
2007-05,49,31,48
2007-06,49,30,48
2007-07,48,29,49
2007-08,44,31,52
2007-09,45,32,51
2007-10,43,27,51
2007-11,40,27,50
2007-12,34,27,43
2008-01,53,35,53
2008-02,46,30,50
2008-03,45,28,51
2008-04,46,28,51
2008-05,44,27,47
2008-06,43,27,49
2008-07,44,27,52
2008-08,43,31,48
2008-09,42,33,61
2008-10,42,28,72
2008-11,39,28,59
2008-12,36,27,52
2009-01,52,35,55
2009-02,46,30,57
2009-03,48,28,59
2009-04,49,28,58
2009-05,47,28,54
2009-06,46,27,55
2009-07,45,28,56
2009-08,47,30,57
2009-09,44,30,58
2009-10,43,27,55
2009-11,42,28,51
2009-12,39,27,47
2010-01,57,35,51
2010-02,51,31,53
2010-03,51,29,54
2010-04,51,29,55
2010-05,51,28,54
2010-06,47,27,52
2010-07,48,30,51
2010-08,48,32,51
2010-09,46,32,52
2010-10,45,29,50
2010-11,43,29,50
2010-12,39,29,46
2011-01,60,39,50
2011-02,51,33,50
2011-03,54,33,52
2011-04,58,31,50
2011-05,57,31,49
2011-06,54,32,47
2011-07,53,31,47
2011-08,52,34,57
2011-09,51,35,51
2011-10,48,34,49
2011-11,48,33,46
2011-12,43,31,41
2012-01,64,42,45
2012-02,56,37,47
2012-03,55,34,48
2012-04,57,34,45
2012-05,54,34,47
2012-06,53,34,44
2012-07,55,36,44
2012-08,53,37,44
2012-09,52,38,47
2012-10,48,34,45
2012-11,44,33,43
2012-12,41,32,39
2013-01,64,43,45
2013-02,59,38,48
2013-03,58,38,46
2013-04,58,37,47
2013-05,55,36,47
2013-06,55,37,44
2013-07,54,37,45
2013-08,52,40,45
2013-09,51,39,46
2013-10,47,38,48
2013-11,44,36,43
2013-12,41,36,39
2014-01,61,47,45
2014-02,54,43,46
2014-03,54,41,46
2014-04,53,40,46
2014-05,50,39,44
2014-06,48,38,44
2014-07,47,39,45
2014-08,46,41,44
2014-09,46,41,49
2014-10,42,38,48
2014-11,42,38,43
2014-12,39,38,42
2015-01,56,49,45
2015-02,48,44,46
2015-03,50,43,46
2015-04,51,42,46
2015-05,47,41,42
2015-06,47,41,44
2015-07,46,41,47
2015-08,46,44,47
2015-09,43,45,48
2015-10,42,40,44
2015-11,39,41,42
2015-12,37,41,40
2016-01,52,51,43
2016-02,47,46,45
2016-03,47,46,43
2016-04,48,45,43
2016-05,48,45,42
2016-06,44,46,45
2016-07,43,57,41
2016-08,45,53,41
2016-09,43,49,43
2016-10,39,44,41
2016-11,37,44,42
2016-12,36,44,38
2017-01,54,57,43
2017-02,57,51,45
2017-03,52,50,44
2017-04,49,47,42
2017-05,48,47,44
2017-06,47,49,42
2017-07,50,52,43
2017-08,46,51,43
2017-09,43,50,47
2017-10,44,47,45
2017-11,41,45,46
2017-12,39,45,51
2018-01,58,58,55
2018-02,52,51,49
2018-03,54,50,48
2018-04,57,49,47
2018-05,54,48,46
2018-06,52,49,43
2018-07,54,50,44
2018-08,51,50,47
2018-09,46,51,45
2018-10,44,46,47
2018-11,43,47,42
2018-12,41,47,41
2019-01,62,58,45
2019-02,54,52,46
2019-03,52,50,45
2019-04,53,48,45
2019-05,49,46,48
